,class_type_ids,content_provider,content_format,description,difficulty_estimate,overall_estimate,difficulty_rating_avg,difficulty_rating_count,difficulty_level,duration,equipment_ids,equipment_tags,explicit_rating,extra_images,fitness_discipline,fitness_discipline_display_name,has_closed_captions,has_pedaling_metrics,home_peloton_id,id,image_url,instructor_id,individual_instructor_ids,is_archived,is_closed_caption_shown,is_explicit,has_free_mode,is_live_in_studio_only,language,origin_locale,length,live_stream_id,live_stream_url,location,metrics,original_air_time,overall_rating_avg,overall_rating_count,pedaling_start_offset,pedaling_end_offset,pedaling_duration,rating,ride_type_id,ride_type_ids,sample_vod_stream_url,sample_preview_stream_url,scheduled_start_time,series_id,sold_out,studio_peloton_id,title,total_ratings,total_in_progress_workouts,total_workouts,vod_stream_url,vod_stream_id,captions,flags,is_dynamic_video_eligible,is_fixed_distance,dynamic_video_recorded_speed_in_mph,thumbnail_title,thumbnail_location,distance,distance_unit,distance_display_value,muscle_group_score,is_sessions_eligible,total_user_workouts,total_following_workouts,is_favorite,availability.is_available,availability.reason,join_tokens.on_demand
0,['59a49f882ea9475faa3110d50a8fb3f3'],peloton,video,"This class is spent primarily in the saddle to give your joints a smooth ride while still giving you a good sweat. Perfect for all levels, especially those recovering from an injury.",5.3787,1.0,5.3787,338,,900,[],[],1,[],cycling,Cycling,True,True,0b909cca7b074245b0503575e6c864a6,5ce63adaf1fd4a51b3869bbacaed6c25,https://s3.amazonaws.com/peloton-ride-images/68fe67a692a867bf8312e0f6a36d4c2676d5caf6/img_1672848234_4573eadff5824e5da16ef94dde30a5e9.png,f6f2d613dc344e4bbf6428cd34697820,[],True,True,True,False,True,english,en-US,1035,5ce63adaf1fd4a51b3869bbacaed6c25-live,,psny-studio-1,"['heart_rate', 'cadence', 'calories']",1672846740,1.0,351,60,960,900,0,59a49f882ea9475faa3110d50a8fb3f3,['59a49f882ea9475faa3110d50a8fb3f3'],,,1672847100,e12c0504eb4e48bfa4b51702914f59aa,False,e5dfa45e678c449d9747f43e522b8aeb,15 min Low Impact Ride,0,344,5000,,5ce63adaf1fd4a51b3869bbacaed6c25-vod,['en-US'],[],False,False,0.0,,,,,,[],False,0,0,False,True,,eyJob21lX3BlbG90b25faWQiOiBudWxsLCAicmlkZV9pZCI6ICI1Y2U2M2FkYWYxZmQ0YTUxYjM4NjliYmFjYWVkNmMyNSIsICJzdHVkaW9fcGVsb3Rvbl9pZCI6IG51bGwsICJ0eXBlIjogIm9uX2RlbWFuZCJ9
1,['7579b9edbdf9464fa19eb58193897a73'],peloton,video,Push through heart-pumping intervals mixed with power-building hills. Improve your power and your overall fitness in this high-intensity ride.,8.2842,0.9975,8.2842,922,,1800,[],[],1,[],cycling,Cycling,True,True,f84f6319ac8242b38f465e30beae39b5,ebeeaa41a3ea45a3ac72b6cc59c3af21,https://s3.amazonaws.com/peloton-ride-images/7b49c52a6702522b1e6fa6a4b95f507e5a27b95d/img_1672846612_06ab3531bee44ea7a5a7fd2b58b986bd.png,f6f2d613dc344e4bbf6428cd34697820,[],True,True,True,False,True,english,en-US,1977,ebeeaa41a3ea45a3ac72b6cc59c3af21-live,,psny-studio-1,"['heart_rate', 'cadence', 'calories']",1672844100,0.9975,814,60,1860,1800,0,7579b9edbdf9464fa19eb58193897a73,['7579b9edbdf9464fa19eb58193897a73'],,,1672844400,af3087a7e45e4145a2e58e8a5d313c9d,False,78da39060e87409ba8b054cebb47ce9c,30 min HIIT & Hills Ride,0,890,5000,,ebeeaa41a3ea45a3ac72b6cc59c3af21-vod,['en-US'],[],False,False,0.0,,,,,,[],True,0,0,False,True,,eyJob21lX3BlbG90b25faWQiOiBudWxsLCAicmlkZV9pZCI6ICJlYmVlYWE0MWEzZWE0NWEzYWM3MmI2Y2M1OWMzYWYyMSIsICJzdHVkaW9fcGVsb3Rvbl9pZCI6IG51bGwsICJ0eXBlIjogIm9uX2RlbWFuZCJ9
2,['7579b9edbdf9464fa19eb58193897a73'],peloton,video,"Bursts of effort alternated with free weight segments, this ride will challenge your mind and strengthen your body from the inside out.",7.6491,0.9975,7.6491,13265,,1800,[],[],1,[],cycling,Cycling,True,True,22fa268544bd4607bd6b0b42d12cf329,873289d79ae0428797d8dce490de4ee5,https://s3.amazonaws.com/peloton-ride-images/8ab8e2b264065dc7b5ce3f73c7fe00d10edadd48/img_1671637651_e01265a7aa4943009ce448f642f60c6b.png,f6f2d613dc344e4bbf6428cd34697820,[],True,False,True,False,True,english,en-US,1946,873289d79ae0428797d8dce490de4ee5-live,,psny-studio-1,"['heart_rate', 'cadence', 'calories']",1671634500,0.9975,12555,60,1860,1800,0,7579b9edbdf9464fa19eb58193897a73,['7579b9edbdf9464fa19eb58193897a73'],,,1671634800,283319daf8834b86a6205737001b0d56,False,ca9cd6dc56e34d81bbeff2613eec4311,30 min Intervals & Arms Ride,0,202,90000,,873289d79ae0428797d8dce490de4ee5-vod,[],[],False,False,0.0,,,,,,[],True,0,0,False,True,,eyJob21lX3BlbG90b25faWQiOiBudWxsLCAicmlkZV9pZCI6ICI4NzMyODlkNzlhZTA0Mjg3OTdkOGRjZTQ5MGRlNGVlNSIsICJzdHVkaW9fcGVsb3Rvbl9pZCI6IG51bGwsICJ0eXBlIjogIm9uX2RlbWFuZCJ9
3,['c87e20095d80463db5ce04df7fe2b989'],peloton,video,"Old school, new school, and everything in between. You'll recognize these smooth beats and won't be able to resist the greatest R&B hits from past and present.",7.079,0.9929,7.079,5178,,1200,[],[],1,[],cycling,Cycling,True,True,11f76e7604ae444ab712de7427ecd69d,193030bd1f7a428f9f40de8e1945df7b,https://s3.amazonaws.com/peloton-ride-images/44addf87026cbb9e8064746277b9d851715420e2/img_1666735464_81cd44dd5aa04308a29f011776289f33.png,f6f2d613dc344e4bbf6428cd34697820,[],True,True,True,False,True,english,en-US,1361,193030bd1f7a428f9f40de8e1945df7b-live,,psny-studio-1,"['heart_rate', 'cadence', 'calories']",1671465600,0.9929,4939,60,1260,1200,0,c87e20095d80463db5ce04df7fe2b989,['c87e20095d80463db5ce04df7fe2b989'],,,1671465600,cbabc6ddbc104650bf4406c65b3c9b79,False,431cae4e52e74ef7a7538f6d05aa043a,20 min R&B Ride,0,43,30000,,193030bd1f7a428f9f40de8e1945df7b-vod,['en-US'],[],False,False,0.0,,,,,,[],False,1,0,False,True,,eyJob21lX3BlbG90b25faWQiOiBudWxsLCAicmlkZV9pZCI6ICIxOTMwMzBiZDFmN2E0MjhmOWY0MGRlOGUxOTQ1ZGY3YiIsICJzdHVkaW9fcGVsb3Rvbl9pZCI6IG51bGwsICJ0eXBlIjogIm9uX2RlbWFuZCJ9
4,['c87e20095d80463db5ce04df7fe2b989'],peloton,video,Join the party and ride along to pop classics of the 2000s.,7.4657,0.9963,7.4657,8401,,1800,[],[],1,[],cycling,Cycling,True,True,5a03f7daaa524e8ab4a31e62b6ec3094,e6b78d94b6f04d0da63ee88bd059a298,https://s3.amazonaws.com/peloton-ride-images/564d8c411f59bb972c81fbe2cec48869edfcf2c9/img_1671390892_5cc60854ec1e4508bc0729d75404c61c.png,f6f2d613dc344e4bbf6428cd34697820,[],True,True,True,False,True,english,en-US,1972,e6b78d94b6f04d0da63ee88bd059a298-live,,psny-studio-1,"['heart_rate', 'cadence', 'calories']",1671387900,0.9963,7766,60,1860,1800,0,c87e20095d80463db5ce04df7fe2b989,['c87e20095d80463db5ce04df7fe2b989'],,,1671388200,52b8a71df14f47159b543dae2a9d38da,False,c5b3b7f9854f45e197fa2980d798e404,30 min 2000s Pop Ride,0,78,60000,,e6b78d94b6f04d0da63ee88bd059a298-vod,['en-US'],[],False,False,0.0,,,,,,[],True,0,0,False,True,,eyJob21lX3BlbG90b25faWQiOiBudWxsLCAicmlkZV9pZCI6ICJlNmI3OGQ5NGI2ZjA0ZDBkYTYzZWU4OGJkMDU5YTI5OCIsICJzdHVkaW9fcGVsb3Rvbl9pZCI6IG51bGwsICJ0eXBlIjogIm9uX2RlbWFuZCJ9
5,['c87e20095d80463db5ce04df7fe2b989'],peloton,video,"Grab your air guitar and hop on the Bike for this high-energy, 90s rock themed ride.",7.857,0.9972,7.857,11781,,1800,[],[],1,[],cycling,Cycling,True,True,c6bd59db9c6e413dbfc5f406a541d609,9235856a9dc24873b843b117b0907277,https://s3.amazonaws.com/peloton-ride-images/13b53409ad5cdce38cb2716fc73c51e77f9aaa09/img_1671201449_ab5b34d86855435ab6059b3f15a1e92b.png,f6f2d613dc344e4bbf6428cd34697820,[],True,True,True,False,True,english,en-US,1974,9235856a9dc24873b843b117b0907277-live,,psny-studio-1,"['heart_rate', 'cadence', 'calories']",1671198900,0.9972,10714,60,1860,1800,0,c87e20095d80463db5ce04df7fe2b989,['c87e20095d80463db5ce04df7fe2b989'],,,1671199200,73fd5a90cec24726bcca006f22dca8bf,False,d2f9084a0cc241fb8eecb5c5cb8fab93,30 min 90s Rock Ride,0,67,60000,,9235856a9dc24873b843b117b0907277-vod,['en-US'],[],False,False,0.0,,,,,,[],True,0,0,False,True,,eyJob21lX3BlbG90b25faWQiOiBudWxsLCAicmlkZV9pZCI6ICI5MjM1ODU2YTlkYzI0ODczYjg0M2IxMTdiMDkwNzI3NyIsICJzdHVkaW9fcGVsb3Rvbl9pZCI6IG51bGwsICJ0eXBlIjogIm9uX2RlbWFuZCJ9
6,['c87e20095d80463db5ce04df7fe2b989'],peloton,video,Enjoy new music as you ride to the latest and greatest on the charts.,7.7119,0.9952,7.7119,6646,,1800,[],[],1,[],cycling,Cycling,True,True,16fe642233654f38a3ddaf5180657d1b,aaf991fbcd534fc492973de630637e65,https://s3.amazonaws.com/peloton-ride-images/a262eead1cb8575ef37da6565e4e3a7b329978f0/img_1670978119_3c20cd9c6fa440bca7f002976eae1717.png,f6f2d613dc344e4bbf6428cd34697820,[],True,True,True,False,True,english,en-US,1997,aaf991fbcd534fc492973de630637e65-live,,psny-studio-1,"['heart_rate', 'cadence', 'calories']",1670976000,0.9952,6205,60,1860,1800,0,c87e20095d80463db5ce04df7fe2b989,['c87e20095d80463db5ce04df7fe2b989'],,,1670976000,c47780ab765c40228eaddb45635373c9,False,e2e4fb70d358481b8848e3a41bd40bfc,30 min New Tracks Ride,0,32,40000,,aaf991fbcd534fc492973de630637e65-vod,['en-US'],[],False,False,0.0,,,,,,[],False,0,0,False,True,,eyJob21lX3BlbG90b25faWQiOiBudWxsLCAicmlkZV9pZCI6ICJhYWY5OTFmYmNkNTM0ZmM0OTI5NzNkZTYzMDYzN2U2NSIsICJzdHVkaW9fcGVsb3Rvbl9pZCI6IG51bGwsICJ0eXBlIjogIm9uX2RlbWFuZCJ9
7,['bf6639f2e50a4f0395cb1479542ed4bd'],peloton,video,Keep your workout going with this quick and efficient climb ride meant to be taken after you have already warmed up.,7.9421,0.9987,7.9421,5215,,600,[],[],1,[],cycling,Cycling,True,True,5721913eabce4e5298cae4fe89905497,38c958945dbc4f6faf767c0492cf7f6f,https://s3.amazonaws.com/peloton-ride-images/653a389a06d1666a69e2085ef48b2f2013b2b633/img_1669824694_6f1d752d5236456b9945f076587c6c39.png,f6f2d613dc344e4bbf6428cd34697820,[],True,False,True,False,True,english,en-US,701,38c958945dbc4f6faf767c0492cf7f6f-live,,psny-studio-1,"['heart_rate', 'cadence', 'calories']",1670857200,0.9987,5329,35,635,600,0,bf6639f2e50a4f0395cb1479542ed4bd,['bf6639f2e50a4f0395cb1479542ed4bd'],,,1670857200,2e2edcdaf4fe4944bc854df424d283dc,False,b4f07848b8514eb091f793402d218313,Extra 10: Climb Ride,0,9,30000,,38c958945dbc4f6faf767c0492cf7f6f-vod,[],[],False,False,0.0,,,,,,[],False,0,0,False,True,,eyJob21lX3BlbG90b25faWQiOiBudWxsLCAicmlkZV9pZCI6ICIzOGM5NTg5NDVkYmM0ZjZmYWY3NjdjMDQ5MmNmN2Y2ZiIsICJzdHVkaW9fcGVsb3Rvbl9pZCI6IG51bGwsICJ0eXBlIjogIm9uX2RlbWFuZCJ9
8,['c87e20095d80463db5ce04df7fe2b989'],peloton,video,It's not about where you've been but where the bass will take you when it drops in this electronic dance music ride!,7.7711,0.9952,7.7711,5339,,1800,[],[],0,[],cycling,Cycling,True,True,fd55b68789664bb083ececc6d7af3047,0dfaf7061566411f8f0ec82bac307a4f,https://s3.amazonaws.com/peloton-ride-images/a4f7a3baadebe2818a00707f1edcc70730c34177/img_1670596412_b1bfc83b87e04369bea5655ae3b72605.png,f6f2d613dc344e4bbf6428cd34697820,[],True,True,False,False,True,english,en-US,1981,0dfaf7061566411f8f0ec82bac307a4f-live,,psny-studio-1,"['heart_rate', 'cadence', 'calories']",1670594100,0.9952,5032,60,1860,1800,0,c87e20095d80463db5ce04df7fe2b989,['c87e20095d80463db5ce04df7fe2b989'],,,1670594400,a0b4ddda87dc4d65b9c769afb5a4617b,False,8d5cac70ca864d2ea54d2b8ce9b554bf,30 min EDM Ride,0,14,30000,,0dfaf7061566411f8f0ec82bac307a4f-vod,['en-US'],[],False,False,0.0,,,,,,[],False,0,0,False,True,,eyJob21lX3BlbG90b25faWQiOiBudWxsLCAicmlkZV9pZCI6ICIwZGZhZjcwNjE1NjY0MTFmOGYwZWM4MmJhYzMwN2E0ZiIsICJzdHVkaW9fcGVsb3Rvbl9pZCI6IG51bGwsICJ0eXBlIjogIm9uX2RlbWFuZCJ9
9,['9f9be657134e4d868d76ae4988da01f1'],peloton,video,"Progress takes practice. Get more comfortable on the Bike, learn proper indoor cycling form and technique, and sweat it out while you learn how to tackle your Leaderboard goals.",6.0075,0.9954,6.0075,4243,,1200,[],[],0,[],cycling,Cycling,True,True,289bde1c9f9f49b885d0c1b7c0a0f171,7ad34d2373ce425483ef0381321d1a3d,https://s3.amazonaws.com/peloton-ride-images/80e586a71746825d1e8a4d86a0b38ecb79e6b648/img_1670522967_a5e0790dea2c4592b9001cc47055d03f.png,f6f2d613dc344e4bbf6428cd34697820,[],True,True,False,False,True,english,en-US,1365,7ad34d2373ce425483ef0381321d1a3d-live,,psny-studio-1,"['heart_rate', 'cadence', 'calories']",1670256000,0.9954,2581,60,1260,1200,0,9f9be657134e4d868d76ae4988da01f1,['9f9be657134e4d868d76ae4988da01f1'],,,1670256000,777cc4f5902a4ef69b718284c5a288df,False,0d01b098ce18418db7f08bab02774cb7,20 min Beginner Ride,0,22,40000,,7ad34d2373ce425483ef0381321d1a3d-vod,['en-US'],[],False,False,0.0,,,,,,[],False,1,0,False,True,,eyJob21lX3BlbG90b25faWQiOiBudWxsLCAicmlkZV9pZCI6ICI3YWQzNGQyMzczY2U0MjU0ODNlZjAzODEzMjFkMWEzZCIsICJzdHVkaW9fcGVsb3Rvbl9pZCI6IG51bGwsICJ0eXBlIjogIm9uX2RlbWFuZCJ9
